hex_id10_1m,hex_id11_1m,hex_id12_1m,hex_id6_1m,hex_id7_1m,hex_id8_1m,hex_id9_1m,client_id
81553,,,,,,,,55702
23353,,,,,,,,84086
70775,,,,,,,,138901
15474,,,,,,,,154642
61514,,,,,,,,54074
6294,,,,,,,,160891
73866,,,,,,,,162681
143255,,,,,,,,99742
100309,,,,,,,,76908
72955,,,,,,,,198061
22684,,,,,,,,72659
135872,,,,,,,,70142
102508,,,,,,,,19532
48195,,,,,,,,188283
128183,,,,,,,,38524
149617,,,,,,,,46714
8260,,,,,,,,172714
19374,,,,,,,,140361
11930,,,,,,,,62165
3058,,,,,,,,183590
78321,,,,,,,,101687
134360,,,,,,,,56859
74156,,,,,,,,61714
149320,,,,,,,,126803
62739,,,,,,,,79465
1265,,,,,,,,81785
97873,,,,,,,,149564
119696,,,,,,,,39010
97526,,,,,,,,33460
66619,,,,,,,,162581
70195,,,,,,,,196360
30616,,,,,,,,115603
62581,,,,,,,,18878
104833,,,,,,,,166978
99649,,,,,,,,190271
137996,,,,,,,,65760
82978,,,,,,,,109972
91745,,,,,,,,36761
101460,,,,,,,,142296
43341,,,,,,,,42154
111116,,,,,,,,23039
137282,,,,,,,,2329
142815,,,,,,,,58484
2264,,,,,,,,84792
61586,,,,,,,,171445
71603,,,,,,,,158132
41648,,,,,,,,32742
1354,,,,,,,,196710
11942,,,,,,,,170366
108049,,,,,,,,86304
62398,,,,,,,,165990
155339,,,,,,,,46251
57380,,,,,,,,83628
154814,,,,,,,,171582
30133,,,,,,,,151485
31528,,,,,,,,133185
157711,,,,,,,,148625
128838,,,,,,,,156625
129963,,,,,,,,20522
75712,,,,,,,,156115
109605,,,,,,,,97821
117243,,,,,,,,42440
50513,,,,,,,,55089
157888,,,,,,,,138286
65850,,,,,,,,93312
30521,,,,,,,,189874
116921,,,,,,,,36739
105255,,,,,,,,176462
14968,,,,,,,,13449
119044,,,,,,,,73111
4798,,,,,,,,148279
43985,,,,,,,,75577
125664,,,,,,,,189076
94511,,,,,,,,86892
139884,,,,,,,,137023
129590,,,,,,,,18974
62965,,,,,,,,105024
109606,,,,,,,,64995
41307,,,,,,,,173674
107737,,,,,,,,36861
100791,,,,,,,,168782
16159,,,,,,,,166244
78752,,,,,,,,18835
1814,,,,,,,,145965
113220,,,,,,,,63808
13907,,,,,,,,114916
107038,,,,,,,,68631
79245,,,,,,,,185740
87190,,,,,,,,2031
103665,,,,,,,,113800
13260,,,,,,,,60142
25087,,,,,,,,53053
154995,,,,,,,,145630
82012,,,,,,,,8983
45656,,,,,,,,196295
120375,,,,,,,,89121
14605,,,,,,,,151753
23822,,,,,,,,32517
75404,,,,,,,,122200
137600,,,,,,,,102007
59935,,,,,,,,58842
138295,,,,,,,,136166
27899,,,,,,,,134207
35667,,,,,,,,76673
8294,,,,,,,,179938
124731,,,,,,,,82613
105481,,,,,,,,84709
110398,,,,,,,,159596
41451,,,,,,,,29419
147465,,,,,,,,82473
81764,,,,,,,,102277
42630,,,,,,,,96564
111645,,,,,,,,200320
26536,,,,,,,,120015
70635,,,,,,,,69322
7518,,,,,,,,192173
43844,,,,,,,,200147
110217,,,,,,,,39603
117614,,,,,,,,122380
127976,,,,,,,,9951
69815,,,,,,,,189846
30654,,,,,,,,177155
137370,,,,,,,,73635
22435,,,,,,,,176904
56735,,,,,,,,139744
17067,,,,,,,,170292
58406,,,,,,,,119469
31250,,,,,,,,162245
115279,,,,,,,,174083
137895,,,,,,,,160828
147558,,,,,,,,6774
145819,,,,,,,,37588
84020,,,,,,,,55030
157525,,,,,,,,19478
69993,,,,,,,,136554
112132,,,,,,,,179829
61608,,,,,,,,130916
51554,,,,,,,,63650
91202,,,,,,,,149463
60209,,,,,,,,82108
158057,,,,,,,,77472
32789,,,,,,,,157005
110672,,,,,,,,81459
70818,,,,,,,,188420
157359,,,,,,,,82592
103114,,,,,,,,121203
50587,,,,,,,,42946
24144,,,,,,,,8379
95167,,,,,,,,33918
64104,,,,,,,,196022
136097,,,,,,,,126827
94648,,,,,,,,109237
126970,,,,,,,,60139
34657,,,,,,,,149857
26433,,,,,,,,95128
124699,,,,,,,,178184
137455,,,,,,,,121358
62935,,,,,,,,139737
117784,,,,,,,,98336
19393,,,,,,,,173034
49337,,,,,,,,97678
127280,,,,,,,,105697
32144,,,,,,,,47759
7463,,,,,,,,196638
35231,,,,,,,,198162
55537,,,,,,,,177010
110771,,,,,,,,90170
148583,,,,,,,,138483
144917,,,,,,,,149971
132133,,,,,,,,117851
97484,,,,,,,,6862
67141,,,,,,,,130165
123729,,,,,,,,119799
132314,,,,,,,,151246
125252,,,,,,,,150763
17666,,,,,,,,9307
115633,,,,,,,,59877
