mac_cnt_1m,mac_cnt_2m,mac_cnt_3m,mac_cnt_d1m,mac_cnt_d2m,mac_cnt_d3m,mac_cnt_p1m,mac_cnt_p2m,mac_cnt_p3m,client_id
87254,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,126960
32138,,,,0.0,0.0,0.0,,,,59687
89138,,,,0.0,0.0,0.0,,,,157039
100625,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,163391
125050,,,,0.0,0.0,0.0,,,,125714
104696,,,,0.0,0.0,0.0,,,,7277
90621,2.0,4.0,6.0,0.0,0.0,0.0,2.0,4.0,6.0,128115
77114,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,200946
151144,,,,0.0,0.0,0.0,,,,49071
120969,1.0,2.0,5.0,0.0,-0.5,0.6666666666666667,1.0,4.0,3.0,109565
107653,,,,0.0,0.0,0.0,,,,153111
138561,,,,0.0,0.0,0.0,,,,156583
153483,,,,0.0,0.0,0.0,,,,2470
135275,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,201088
15118,1.0,2.0,3.0,0.0,0.0,0.5,1.0,2.0,2.0,56068
30859,,,,0.0,0.0,0.0,,,,26222
98099,1.0,3.0,4.0,-0.5,0.5,0.3333333333333333,2.0,2.0,3.0,11525
42143,1.0,2.0,5.0,0.0,-0.5,0.0,1.0,4.0,5.0,10097
3451,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,49334
80104,2.0,4.0,6.0,0.0,0.0,0.0,2.0,4.0,6.0,85844
43967,,,,0.0,0.0,0.0,,,,145295
128635,,,,0.0,0.0,0.0,,,,134499
76444,,,,0.0,0.0,0.0,,,,121376
47212,,,,0.0,0.0,0.0,,,,139282
112820,,,,0.0,0.0,0.0,,,,123509
103990,,,,0.0,0.0,0.0,,,,140204
44591,,,,0.0,0.0,0.0,,,,69069
115875,1.0,3.0,4.0,-0.5,0.5,0.3333333333333333,2.0,2.0,3.0,45693
57709,,,,0.0,0.0,0.0,,,,170532
97125,,,,0.0,0.0,0.0,,,,68307
26764,,,,0.0,0.0,0.0,,,,131562
151969,,,,0.0,0.0,0.0,,,,76694
137610,,,,0.0,0.0,0.0,,,,71081
40859,,,,0.0,0.0,0.0,,,,8678
133097,,,,0.0,0.0,0.0,,,,76439
54644,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,200347
136937,,,,0.0,0.0,0.0,,,,86411
95535,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,52145
155041,,,,0.0,0.0,0.0,,,,162168
731,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,194340
24999,,,,0.0,0.0,0.0,,,,9001
90909,,,,0.0,0.0,0.0,,,,138129
117372,,,,0.0,0.0,0.0,,,,189670
10314,,,,0.0,0.0,0.0,,,,180019
33363,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,78892
92719,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,152781
131823,,,,0.0,-1.0,-1.0,,1.0,3.0,32663
55644,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,35196
92110,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,84132
113215,,,,0.0,0.0,0.0,,,,66942
90362,,,,0.0,0.0,0.0,,,,32084
15004,,,,0.0,0.0,0.0,,,,62670
77170,,,,0.0,0.0,0.0,,,,191295
75407,2.0,4.0,6.0,0.0,0.0,0.0,2.0,4.0,6.0,165147
128034,,,,0.0,0.0,0.0,,,,53380
9814,,,,0.0,0.0,0.0,,,,138631
106777,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,110714
67006,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,26977
26163,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,10478
76477,,,,0.0,0.0,0.0,,,,33710
97094,,,,0.0,0.0,0.0,,,,156565
144300,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,131803
56597,,,,0.0,0.0,0.0,,,,173427
126661,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,153636
50372,,,,0.0,0.0,0.0,,,,45965
66382,,,,0.0,0.0,0.0,,,,199283
96191,,,,0.0,0.0,0.0,,,,172521
122391,,,,0.0,0.0,0.0,,,,159803
43357,,,,0.0,0.0,0.0,,,,96895
133169,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,60932
25348,,,,0.0,0.0,0.0,,,,70929
27157,,,,0.0,0.0,0.0,,,,180924
10828,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,134582
136865,,,,0.0,0.0,0.0,,,,75848
97545,1.0,4.0,5.0,-0.6666666666666667,1.0,0.6666666666666667,3.0,2.0,3.0,18523
40049,,,,0.0,0.0,0.0,,,,12930
85786,1.0,2.0,3.0,0.0,0.0,0.5,1.0,2.0,2.0,109249
143123,,,,0.0,0.0,0.0,,,,5131
52900,,,,0.0,0.0,0.0,,,,16278
87260,,,,0.0,0.0,0.0,,,,85435
18597,,,,0.0,0.0,0.0,,,,10230
127663,,,,0.0,0.0,0.0,,,,170173
27628,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,110838
15882,,,,0.0,0.0,0.0,,,,56548
137475,,,,0.0,0.0,0.0,,,,34499
96343,1.0,3.0,4.0,-0.5,0.5,0.3333333333333333,2.0,2.0,3.0,31190
151194,,,,0.0,0.0,0.0,,,,10487
1858,2.0,4.0,6.0,0.0,0.0,0.0,2.0,4.0,6.0,120994
14702,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,163554
11219,,,,0.0,0.0,0.0,,,,74803
139882,1.0,2.0,3.0,0.0,0.0,-0.25,1.0,2.0,4.0,66751
150741,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,74176
123054,,,,0.0,0.0,0.0,,,,39487
62138,,,,0.0,0.0,0.0,,,,185053
41364,,,,0.0,0.0,0.0,,,,34462
136397,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,91106
28922,,,,0.0,0.0,0.0,,,,14282
155451,,,,0.0,0.0,0.0,,,,44602
94686,,,,0.0,0.0,0.0,,,,91627
2200,,,,0.0,0.0,0.0,,,,174234
100905,,,,0.0,0.0,0.0,,,,19773
118892,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,172273
136620,,,,0.0,0.0,0.0,,,,144899
156329,1.0,3.0,4.0,-0.5,0.5,0.3333333333333333,2.0,2.0,3.0,60338
112338,,,,0.0,0.0,0.0,,,,141999
70050,,,,0.0,0.0,0.0,,,,35443
3288,,,,0.0,0.0,0.0,,,,111952
83285,,,,0.0,0.0,0.0,,,,5909
76384,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,132882
138631,2.0,4.0,6.0,0.0,0.0,0.0,2.0,4.0,6.0,162324
26503,,,,0.0,0.0,0.0,,,,124611
104957,2.0,5.0,7.0,-0.3333333333333333,0.25,0.1666666666666667,3.0,4.0,6.0,30401
8346,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,143561
157522,,,,0.0,0.0,0.0,,,,136763
118855,1.0,3.0,4.0,-0.5,0.5,0.3333333333333333,2.0,2.0,3.0,54683
17923,,,,0.0,0.0,0.0,,,,161950
31171,,,,0.0,0.0,0.0,,,,123295
148698,,,,0.0,0.0,0.0,,,,155203
143301,,,,0.0,0.0,0.0,,,,197436
98722,,,,0.0,0.0,0.0,,,,20080
90274,,,,0.0,0.0,0.0,,,,15548
87983,,,,0.0,0.0,0.0,,,,191672
148695,,,,0.0,0.0,0.0,,,,101745
133766,2.0,3.0,4.0,1.0,0.5,0.3333333333333333,1.0,2.0,3.0,144599
54465,2.0,4.0,6.0,0.0,0.0,0.0,2.0,4.0,6.0,155531
56294,,,,0.0,0.0,0.0,,,,171112
36739,,,,0.0,0.0,0.0,,,,31159
13224,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,183647
92247,,,,0.0,0.0,0.0,,,,22051
4417,,,,0.0,0.0,0.0,,,,28497
141071,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,51206
139909,3.0,4.0,5.0,2.0,1.0,0.0,1.0,2.0,5.0,135147
26424,,,,0.0,0.0,0.0,,,,68674
63043,,,,0.0,0.0,0.0,,,,1027
93954,,,,0.0,0.0,0.0,,,,53647
114931,,,,0.0,0.0,0.0,,,,35980
7272,2.0,4.0,6.0,0.0,0.0,0.0,2.0,4.0,6.0,49597
52189,1.0,2.0,3.0,0.0,0.0,-0.25,1.0,2.0,4.0,58778
2645,1.0,2.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,84260
12508,,,,0.0,0.0,0.0,,,,119700
33330,,,,0.0,0.0,0.0,,,,183516
127236,2.0,4.0,6.0,0.0,0.3333333333333333,5.0,2.0,3.0,1.0,165998
81503,,,,0.0,0.0,0.0,,,,57910
22766,2.0,4.0,6.0,0.0,0.0,0.0,2.0,4.0,6.0,154048
87223,,,,0.0,0.0,0.0,,,,15447
55075,,,,0.0,0.0,0.0,,,,134231
71676,1.0,3.0,4.0,-0.5,0.5,0.3333333333333333,2.0,2.0,3.0,79289
85809,,,,0.0,0.0,0.0,,,,115038
158023,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,43543
83560,1.0,3.0,4.0,-0.5,0.5,0.3333333333333333,2.0,2.0,3.0,21106
36669,,,,0.0,0.0,0.0,,,,23734
75446,2.0,4.0,6.0,0.0,0.0,0.0,2.0,4.0,6.0,94415
159831,,,,0.0,0.0,0.0,,,,101539
148901,,,,0.0,0.0,0.0,,,,169809
50364,,,,0.0,0.0,0.0,,,,192629
83704,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,186854
